Title,Author,Rating,Genre
"Redwall (Redwall, #1)",Brian Jacques,"4.13 avg rating — 114,651 ratings",Adventure
"Song of the Current (Song of the Current, #1)",Sarah Tolcser,"3.86 avg rating — 3,982 ratings",Adventure
"The Cavalier (Heroes of the Empire, #1)",Israh Azizi,4.47 avg rating — 72 ratings,Adventure
"Starclimber (Matt Cruse, #3)",Kenneth Oppel,"4.22 avg rating — 8,801 ratings",Adventure
"Martin the Warrior (Redwall, #6)",Brian Jacques,"4.16 avg rating — 42,051 ratings",Adventure
"Sun and Moon, Ice and Snow",Jessica Day George,"3.98 avg rating — 21,844 ratings",Adventure
"Whisper of the Tide (Song of the Current, #2)",Sarah Tolcser,"4.06 avg rating — 1,088 ratings",Adventure
Ocean's Echo,Everina Maxwell,"4.16 avg rating — 4,633 ratings",Adventure
"Skybreaker (Matt Cruse, #2)",Kenneth Oppel,"4.26 avg rating — 12,322 ratings",Adventure
The Jungle Book,Rudyard Kipling,"3.91 avg rating — 118,264 ratings",Adventure
"Mattimeo (Redwall, #3)",Brian Jacques,"4.07 avg rating — 34,287 ratings",Adventure
"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky  Chambers,"4.18 avg rating — 125,692 ratings",Adventure
"Stormbreaker (Alex Rider, #1)",Anthony Horowitz,"3.98 avg rating — 98,175 ratings",Adventure
The Flame Trees of Thika: Memories of an African Childhood,Elspeth Huxley,"4.11 avg rating — 5,539 ratings",Adventure
"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,"4.09 avg rating — 310,985 ratings",Adventure
"The Oaken Throne (The Deptford Histories, #2)",Robin Jarvis,4.26 avg rating — 543 ratings,Adventure
"The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared (The Hundred-Year-Old Man, #1)",Jonas Jonasson,"3.82 avg rating — 261,375 ratings",Adventure
The Wind Through the Keyhole,Stephen King,"4.15 avg rating — 78,113 ratings",Adventure
