Title,Author,Rating,Genre
Hopscotch,Julio Cortázar,"4.21 avg rating — 39,591 ratings",Magical Realism
Steppenwolf,Hermann Hesse,"4.13 avg rating — 172,305 ratings",Magical Realism
"A Wild Sheep Chase (The Rat, #3)",Haruki Murakami,"3.94 avg rating — 117,034 ratings",Magical Realism
The Tiger's Wife,Téa Obreht,"3.41 avg rating — 97,937 ratings",Magical Realism
Shoeless Joe,W.P. Kinsella,"3.97 avg rating — 14,896 ratings",Magical Realism
The Mistress of Spices,Chitra Banerjee Divakaruni,"3.48 avg rating — 13,852 ratings",Magical Realism
Swamplandia!,Karen Russell,"3.27 avg rating — 56,077 ratings",Magical Realism
Nights at the Circus,Angela Carter,"3.89 avg rating — 12,577 ratings",Magical Realism
Dictionary of the Khazars,Milorad Pavić,"4.17 avg rating — 6,664 ratings",Magical Realism
The Magic Toyshop,Angela Carter,"3.81 avg rating — 11,319 ratings",Magical Realism
Of Bees and Mist,Erick Setiawan,"3.76 avg rating — 7,469 ratings",Magical Realism
All The Names,José Saramago,"3.90 avg rating — 20,481 ratings",Magical Realism
"Dangerous Angels (Weetzie Bat, #1-5)",Francesca Lia Block,"4.24 avg rating — 8,902 ratings",Magical Realism
Mama Day,Gloria Naylor,"4.18 avg rating — 10,451 ratings",Magical Realism
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,"3.92 avg rating — 1,202,027 ratings",Magical Realism
The Temple of My Familiar,Alice Walker,"4.05 avg rating — 14,213 ratings",Magical Realism
Shalimar the Clown,Salman Rushdie,"3.90 avg rating — 13,934 ratings",Magical Realism
"Dance Dance Dance (The Rat, #4)",Haruki Murakami,"4.05 avg rating — 83,058 ratings",Magical Realism
The Lace Reader,Brunonia Barry,"3.48 avg rating — 28,526 ratings",Magical Realism
The Light of Eternal Spring,Angel Di Zhang,4.30 avg rating — 142 ratings,Magical Realism
The Probable Future,Alice Hoffman,"3.85 avg rating — 15,231 ratings",Magical Realism
Franz Kafka's The Castle,David Fishelson,"4.10 avg rating — 27,893 ratings",Magical Realism
A Tale for the Time Being,Ruth Ozeki,"4.05 avg rating — 111,200 ratings",Magical Realism
"Someplace to Be Flying (Newford, #5)",Charles de Lint,"4.32 avg rating — 5,723 ratings",Magical Realism
The Alchemist,Paulo Coelho,"3.90 avg rating — 2,811,857 ratings",Magical Realism
The Stories of Eva Luna,Isabel Allende,"3.98 avg rating — 20,033 ratings",Magical Realism
A Prayer for Owen Meany,John Irving,"4.24 avg rating — 311,978 ratings",Magical Realism
Blow-Up and Other Stories,Julio Cortázar,"4.22 avg rating — 7,091 ratings",Magical Realism
Cronopios and Famas,Julio Cortázar,"4.24 avg rating — 16,820 ratings",Magical Realism
Here on Earth,Alice Hoffman,"3.69 avg rating — 47,723 ratings",Magical Realism
The Enchantress of Florence,Salman Rushdie,"3.60 avg rating — 18,265 ratings",Magical Realism
Jonathan Strange & Mr Norrell,Susanna Clarke,"3.85 avg rating — 228,026 ratings",Magical Realism
House of Leaves,Mark Z. Danielewski,"4.09 avg rating — 156,484 ratings",Magical Realism
A Trip to the Stars,Nicholas Christopher,"4.27 avg rating — 2,554 ratings",Magical Realism
