Title,Author,Rating
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,"4.33 avg rating — 728,078 ratings"
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,"4.30 avg rating — 283,795 ratings"
"Watership Down (Watership Down, #1)",Richard  Adams,"4.08 avg rating — 466,281 ratings"
Great Expectations,Charles Dickens,"3.79 avg rating — 760,106 ratings"
Rebecca,Daphne du Maurier,"4.24 avg rating — 578,666 ratings"
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"4.16 avg rating — 3,017,357 ratings"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"4.38 avg rating — 2,674,638 ratings"
"Outlander (Outlander, #1)",Diana Gabaldon,"4.25 avg rating — 984,836 ratings"
One Flew Over the Cuckoo's Nest,Ken Kesey,"4.20 avg rating — 702,230 ratings"
The Color Purple,Alice Walker,"4.26 avg rating — 629,705 ratings"
My Sister's Keeper,Jodi Picoult,"4.09 avg rating — 1,171,711 ratings"
Anna Karenina,Leo Tolstoy,"4.08 avg rating — 794,912 ratings"
The Brothers Karamazov,Fyodor Dostoevsky,"4.36 avg rating — 302,078 ratings"
A Tree Grows in Brooklyn,Betty  Smith,"4.29 avg rating — 440,546 ratings"
A Clockwork Orange,Anthony Burgess,"really liked it 4.00 avg rating — 678,450 ratings"
The Road,Cormac McCarthy,"3.98 avg rating — 835,551 ratings"
"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,"4.14 avg rating — 606,352 ratings"
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,"4.11 avg rating — 624,970 ratings"
Siddhartha,Hermann Hesse,"4.06 avg rating — 715,191 ratings"
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"4.01 avg rating — 1,460,109 ratings"
And Then There Were None,Agatha Christie,"4.28 avg rating — 1,196,790 ratings"
It,Stephen King,"4.25 avg rating — 1,018,260 ratings"
The Poisonwood Bible,Barbara Kingsolver,"4.08 avg rating — 714,493 ratings"
To Kill a Mockingbird,Harper Lee,"4.27 avg rating — 5,651,813 ratings"
"The Shining (The Shining, #1)",Stephen King,"4.26 avg rating — 1,377,571 ratings"
The Complete Stories and Poems,Edgar Allan Poe,"4.38 avg rating — 244,629 ratings"
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"4.01 avg rating — 555,077 ratings"
Don Quixote,Miguel de Cervantes Saavedra,"3.89 avg rating — 251,781 ratings"
The Old Man and the Sea,Ernest Hemingway,"3.80 avg rating — 1,052,064 ratings"
