Title,Author,Rating,Genre,Book Cover URL
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,"4.29 avg rating — 514,945 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327957927i/13214._SY75_.jpg
No Matter the Wreckage: Poems,Sarah Kay,"4.21 avg rating — 14,627 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394597872i/18288210._SY75_.jpg
The Lady of Shalott,Alfred Tennyson,"4.19 avg rating — 19,002 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400891098i/724371._SX50_.jpg
Tao Te Ching,Lao Tzu,"4.30 avg rating — 151,966 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333578861i/67896._SY75_.jpg
Song of Myself,Walt Whitman,"4.16 avg rating — 14,325 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348628457i/293918._SY75_.jpg
View with a Grain of Sand: Selected Poems,Wisława Szymborska,"4.33 avg rating — 4,783 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436946285i/10203._SY75_.jpg
Hamlet,William Shakespeare,"4.02 avg rating — 915,303 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351051208i/1420._SY75_.jpg
Illuminations,Arthur Rimbaud,"4.34 avg rating — 12,502 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347626864i/565149._SY75_.jpg
Lullabies (Volume 2) (Lang Leav),Lang Leav,"3.98 avg rating — 27,154 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404192714i/22151696._SY75_.jpg
Selected Poems,Lord Byron,"4.06 avg rating — 14,247 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411634706i/119239._SY75_.jpg
Love & Misadventure,Lang Leav,"3.94 avg rating — 54,833 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1370084153i/18003300._SX50_.jpg
Howl and Other Poems,Allen Ginsberg,"4.13 avg rating — 108,849 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1668784961i/6295._SX50_.jpg
Aimless Love: New and Selected Poems,Billy Collins,"4.18 avg rating — 5,580 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366046336i/15798111._SY75_.jpg
The Collected Poems of W.B. Yeats,W.B. Yeats,"4.22 avg rating — 38,431 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436919797i/53022._SY75_.jpg
Depression & Other Magic Tricks,Sabrina Benaim,"3.75 avg rating — 15,528 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1492920202i/34594982._SX50_.jpg
Crush,Richard Siken,"4.34 avg rating — 34,010 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1613741198i/96259._SX50_.jpg
The Iliad,Homer,"3.90 avg rating — 436,401 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1625333695i/1371._SX50_.jpg
Inferno,Dante Alighieri,"4.02 avg rating — 175,422 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520255019i/15645._SY75_.jpg
Bluets,Maggie Nelson,"4.11 avg rating — 40,959 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354902976i/6798263._SY75_.jpg
A Coney Island of the Mind,Lawrence Ferlinghetti,"4.16 avg rating — 11,751 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327958248i/99713._SY75_.jpg
The Waste Land,T.S. Eliot,"4.10 avg rating — 52,360 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597549396i/34080._SY75_.jpg
The Portable Dorothy Parker,Dorothy Parker,"4.34 avg rating — 11,749 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386926061i/46231._SY75_.jpg
Citizen: An American Lyric,Claudia Rankine,"4.27 avg rating — 45,774 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420944502i/20613761._SX50_.jpg
Joyful Noise: Poems for Two Voices,Paul Fleischman,"3.98 avg rating — 10,558 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347446165i/160192._SX50_.jpg
Chasers of the Light: Poems from the Typewriter Series,Tyler Knott Gregson,"4.19 avg rating — 10,293 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398025020i/20821097._SX50_.jpg
Beowulf,Unknown,"3.48 avg rating — 303,256 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327878125i/52357._SY75_.jpg
100 Selected Poems,E.E. Cummings,"4.29 avg rating — 28,685 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388179993i/76889._SY75_.jpg
Idylls of the King,Alfred Tennyson,"3.96 avg rating — 9,898 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380979896i/393636._SY75_.jpg
"Love That Dog (Jack, #1)",Sharon Creech,"4.04 avg rating — 44,573 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415581593i/53498._SX50_.jpg
The Complete Poems,John Keats,"4.25 avg rating — 23,309 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347472201i/138134._SX50_.jpg
Autobiography of Red,Anne Carson,"4.28 avg rating — 27,322 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403176248i/61049._SY75_.jpg
Why I Wake Early,Mary Oliver,"4.40 avg rating — 7,678 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388268611i/71654._SX50_.jpg
I Could Pee on This: and Other Poems by Cats,Francesco Marciuliano,"3.93 avg rating — 11,075 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344865917i/14553840._SX50_.jpg
The Selected Poetry of Rainer Maria Rilke,Rainer Maria Rilke,"4.39 avg rating — 15,293 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657553262i/46201._SY75_.jpg
The Wild Iris,Louise Glück,"4.17 avg rating — 11,343 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388251429i/76546._SX50_.jpg
E.E. Cummings: Complete Poems 1904-1962,E.E. Cummings,"4.35 avg rating — 21,232 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355093052i/26596._SX50_.jpg
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,"4.23 avg rating — 13,804 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403183272i/676._SY75_.jpg
"To Make Monsters Out of Girls (Things that Haunt, #1)",Amanda Lovelace,"3.73 avg rating — 10,619 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521370797i/39217806._SY75_.jpg
Sir Gawain and the Green Knight,Unknown,"3.75 avg rating — 67,968 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309282183i/3049._SY75_.jpg
Teaching My Mother How to Give Birth,Warsan Shire,"4.25 avg rating — 19,690 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456003618i/13376363._SX50_.jpg
The Collected Poems,Langston Hughes,"4.35 avg rating — 17,609 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367492866i/133906._SX50_.jpg
100 Love Sonnets,Pablo Neruda,"4.36 avg rating — 17,207 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388324821i/11339._SY75_.jpg
The Poetry of Pablo Neruda,Pablo Neruda,"4.44 avg rating — 19,260 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417605511i/5936._SY75_.jpg
Selected Poems,E.E. Cummings,"4.22 avg rating — 13,859 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320891958i/26599._SX50_.jpg
Selected Poems,William Carlos Williams,"4.15 avg rating — 17,265 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549475131i/65336._SY75_.jpg
"Oh, the Places You'll Go!",Dr. Seuss,"4.36 avg rating — 394,179 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630510695i/191139._SX50_.jpg
The Melancholy Death of Oyster Boy and Other Stories,Tim Burton,"4.12 avg rating — 38,893 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338646527i/519112._SY75_.jpg
Diving Into the Wreck,Adrienne Rich,"4.24 avg rating — 8,967 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340806085i/130810._SY75_.jpg
Paradise Lost,John Milton,"3.84 avg rating — 161,257 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1526070678i/15997._SY75_.jpg
The Trouble With Poetry - And Other Poems,Billy Collins,"4.17 avg rating — 6,959 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437275951i/24400._SY75_.jpg
The Colossus and Other Poems,Sylvia Plath,"4.17 avg rating — 12,470 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403184758i/11627._SY75_.jpg
Sonnets from the Portuguese,Elizabeth Barrett Browning,"4.12 avg rating — 12,225 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437450745i/154387._SX50_.jpg
The Aeneid,Virgil,"3.86 avg rating — 126,354 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386923968i/12914._SY75_.jpg
Birthday Letters,Ted Hughes,"3.90 avg rating — 9,782 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339847018i/313277._SY75_.jpg
On Earth We're Briefly Gorgeous,Ocean Vuong,"4.05 avg rating — 269,590 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615580168i/41880609._SX50_.jpg
Four Quartets,T.S. Eliot,"4.38 avg rating — 17,231 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547657432i/80410._SY75_.jpg
The Crossover,Kwame Alexander,"4.25 avg rating — 57,728 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390427593i/18263725._SX50_.jpg
I Wrote This For You (I Wrote This For You #4),pleasefindthis,"4.09 avg rating — 20,118 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413756174i/13105527._SY75_.jpg
Native Guard: A Pulitzer Prize Winner,Natasha Trethewey,"4.20 avg rating — 4,316 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440708117i/97409._SY75_.jpg
The Poet X,Elizabeth Acevedo,"4.39 avg rating — 121,370 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498766234i/33294200._SY75_.jpg
Selected Poems,Pablo Neruda,"4.36 avg rating — 3,984 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327999613i/1547992._SY75_.jpg
The Beauty of the Husband: A Fictional Essay in 29 Tangos,Anne Carson,"4.24 avg rating — 6,206 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320482775i/150252._SY75_.jpg
The Raven and Other Poems,Edgar Allan Poe,"4.30 avg rating — 44,400 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632080446i/269322._SY75_.jpg
"Impulse (Impulse, #1)",Ellen Hopkins,"4.26 avg rating — 76,986 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1689381440i/270805._SX50_.jpg
Good Poems,Garrison Keillor,"4.18 avg rating — 6,703 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388247050i/39692._SY75_.jpg
Long Way Down,Jason Reynolds,"4.26 avg rating — 111,819 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520008013i/22552026._SY75_.jpg
You Get So Alone at Times That it Just Makes Sense,Charles Bukowski,"4.19 avg rating — 17,204 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1683478544i/38504._SY75_.jpg
