Title,Author,Rating,Genre
The Lives of a Cell: Notes of a Biology Watcher,Lewis Thomas,"4.14 avg rating — 10,063 ratings",Adventure
The Third Chimpanzee: The Evolution and Future of the Human Animal,Jared Diamond,"4.08 avg rating — 26,328 ratings",Adventure
"The Ghost Map: The Story of London's Most Terrifying Epidemic—and How It Changed Science, Cities, and the Modern World",Steven Johnson,"3.89 avg rating — 50,559 ratings",Adventure
Relativity: The Special and the General Theory,Albert Einstein,"4.20 avg rating — 20,573 ratings",Adventure
The Drunkard's Walk: How Randomness Rules Our Lives,Leonard Mlodinow,"3.94 avg rating — 22,203 ratings",Adventure
"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character",Richard P. Feynman,"4.18 avg rating — 27,882 ratings",Adventure
QED: The Strange Theory of Light and Matter,Richard P. Feynman,"4.26 avg rating — 17,686 ratings",Adventure
Why Evolution Is True,Jerry A. Coyne,"4.18 avg rating — 24,188 ratings",Adventure
The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan,"4.06 avg rating — 54,117 ratings",Adventure
Big Bang: The Origin of the Universe,Simon Singh,"4.20 avg rating — 17,961 ratings",Adventure
The Tao of Physics: An Exploration of the Parallels between Modern Physics and Eastern Mysticism,Fritjof Capra,"3.96 avg rating — 18,237 ratings",Adventure
Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,"4.12 avg rating — 119,317 ratings",Adventure
Zero: The Biography of a Dangerous Idea,Charles Seife,"3.97 avg rating — 10,169 ratings",Adventure
The Illustrated A Brief History of Time/The Universe in a Nutshell,Stephen Hawking,"4.31 avg rating — 9,762 ratings",Adventure
The Ascent of Man,Jacob Bronowski,"4.20 avg rating — 6,004 ratings",Adventure
Man and His Symbols,C.G. Jung,"4.18 avg rating — 26,666 ratings",Adventure
Origins: Fourteen Billion Years of Cosmic Evolution,Neil deGrasse Tyson,"4.14 avg rating — 9,724 ratings",Adventure
The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,"4.01 avg rating — 33,754 ratings",Adventure
"Parallel Worlds: A Journey through Creation, Higher Dimensions, and the Future of the Cosmos",Michio Kaku,"4.21 avg rating — 20,493 ratings",Adventure
How to Lie with Statistics,Darrell Huff,"3.85 avg rating — 15,209 ratings",Adventure
The Beak of the Finch: A Story of Evolution in Our Time,Jonathan Weiner,"4.17 avg rating — 9,035 ratings",Adventure
Broca's Brain: Reflections on the Romance of Science,Carl Sagan,"4.04 avg rating — 10,436 ratings",Adventure
The Mismeasure of Man,Stephen Jay Gould,"4.05 avg rating — 8,673 ratings",Adventure
An Inconvenient Truth: The Planetary Emergency of Global Warming and What We Can Do About It,Al Gore,"3.78 avg rating — 6,696 ratings",Adventure
"Galileo's Daughter: A Historical Memoir of Science, Faith and Love",Dava Sobel,"3.75 avg rating — 29,010 ratings",Adventure
Packing for Mars: The Curious Science of Life in the Void,Mary Roach,"3.95 avg rating — 56,452 ratings",Adventure
The Hidden Reality: Parallel Universes and the Deep Laws of the Cosmos,Brian Greene,"4.10 avg rating — 19,224 ratings",Adventure
The Design of Everyday Things,Donald A. Norman,"4.15 avg rating — 39,759 ratings",Adventure
Woman: An Intimate Geography,Natalie Angier,"4.14 avg rating — 4,355 ratings",Adventure
The Pluto Files: The Rise and Fall of America's Favorite Planet,Neil deGrasse Tyson,"3.88 avg rating — 6,826 ratings",Adventure
The Principia: Mathematical Principles of Natural Philosophy,Isaac Newton,"4.24 avg rating — 4,614 ratings",Adventure
Ever Since Darwin: Reflections in Natural History,Stephen Jay Gould,"4.14 avg rating — 3,361 ratings",Adventure
