Title,Author,Rating,Genre
Blacktop Wasteland,S.A. Cosby,"4.08 avg rating — 30,670 ratings",Psychological Thriller
The Broken Girls,Simone St. James,"4.07 avg rating — 89,169 ratings",Psychological Thriller
Bath Haus,P.J.  Vernon,"3.77 avg rating — 11,931 ratings",Psychological Thriller
The Couple on Maple Drive,Sam Carrington,3.52 avg rating — 677 ratings,Psychological Thriller
"The Surgeon (Rizzoli & Isles, #1)",Tess Gerritsen,"4.09 avg rating — 153,186 ratings",Psychological Thriller
One by One,Ruth Ware,"3.73 avg rating — 156,468 ratings",Psychological Thriller
"The Girl in 6E (Deanna Madden, #1)",A.R. Torre,"3.79 avg rating — 23,248 ratings",Psychological Thriller
The Turn of the Key,Ruth Ware,"3.93 avg rating — 236,070 ratings",Psychological Thriller
"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,"3.97 avg rating — 690,291 ratings",Psychological Thriller
Charlotte,Norah Lofts,3.87 avg rating — 168 ratings,Psychological Thriller
Strangers on a Train,Patricia Highsmith,"3.74 avg rating — 28,527 ratings",Psychological Thriller
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,"4.24 avg rating — 526,469 ratings",Psychological Thriller
Your House Will Pay,Steph Cha,"4.11 avg rating — 8,399 ratings",Psychological Thriller
Shutter Island,Dennis Lehane,"4.11 avg rating — 184,617 ratings",Psychological Thriller
Road of Bones,Christopher Golden,"3.45 avg rating — 5,406 ratings",Psychological Thriller
A Flicker in the Dark,Stacy Willingham,"4.01 avg rating — 179,672 ratings",Psychological Thriller
Nothing More to Tell,Karen M. McManus,"3.96 avg rating — 27,381 ratings",Psychological Thriller
Our Crooked Hearts,Melissa Albert,"3.82 avg rating — 7,023 ratings",Psychological Thriller
My Wife is Missing,D.J.  Palmer,"3.90 avg rating — 6,532 ratings",Psychological Thriller
The Golden Couple,Greer Hendricks,"4.01 avg rating — 137,651 ratings",Psychological Thriller
The Other Guest,Helen   Cooper,"3.65 avg rating — 1,481 ratings",Psychological Thriller
Secluded Cabin Sleeps Six,Lisa Unger,"3.49 avg rating — 24,411 ratings",Psychological Thriller
Daisy Darker,Alice Feeney,"3.81 avg rating — 93,746 ratings",Psychological Thriller
All Good People Here,Ashley Flowers,"3.89 avg rating — 108,915 ratings",Psychological Thriller
The Butcher and the Wren (The Butcher and the Wren #1),Alaina Urquhart,"3.73 avg rating — 31,297 ratings",Psychological Thriller
The It Girl,Ruth Ware,"3.89 avg rating — 127,179 ratings",Psychological Thriller
Reputation,Sarah Vaughan,"3.68 avg rating — 4,981 ratings",Psychological Thriller
The House Across the Lake,Riley Sager,"3.58 avg rating — 120,157 ratings",Psychological Thriller
Breathless,Amy McCulloch,"3.65 avg rating — 17,437 ratings",Psychological Thriller
"The Locked Room (Ruth Galloway, #14)",Elly Griffiths,"4.27 avg rating — 13,922 ratings",Psychological Thriller
Aurora,David Koepp,"3.82 avg rating — 6,403 ratings",Psychological Thriller
The Lunar Housewife,Caroline  Woods,"3.65 avg rating — 1,040 ratings",Psychological Thriller
Local Gone Missing,Fiona Barton,"3.51 avg rating — 7,400 ratings",Psychological Thriller
214 Palmer Street,Karen McQuestion,"3.84 avg rating — 5,192 ratings",Psychological Thriller
The Locked Door,Freida McFadden,"4.19 avg rating — 86,156 ratings",Psychological Thriller
